Date,Sales_Rep,Region,Brand,Sales,COGS
2024-12-20,Dale Warren,West,Ralph Lauren,266.14,143.53
2025-09-01,Scott Gonzalez,Northeast,Jessica Simpson,155.19,50.61
2025-03-26,Felipe Weber,North Central,Puma,477.46,311.22
2023-09-02,Rogelio Stanley,West,New Balance,422.64,344.03
2025-02-15,Scott Gonzalez,West,Tommy Hilfiger,231.84,143.92
2023-05-06,Dale Warren,North Central,New Balance,460.39,276.05
2026-02-27,Rogelio Stanley,West,ADIDAS,162.91,128.93
2026-02-18,Martin Lynch,West,Calvin Klein,378.42,123.27
2024-01-04,Paul Partick,North Central,Calvin Klein,548.65,388.01
2023-03-06,Lowell Norton,North Central,Puma,420.9,380.97
2023-05-16,Felipe Weber,South,Ralph Lauren,212.78,111.07
2023-04-07,Paul Partick,West,Nike,140.9,70.69
2025-12-28,Scott Gonzalez,Northeast,Puma,260.94,107.06
2023-03-20,Rogelio Stanley,West,Nike,43.06,25.58
2025-03-18,Aubrey Santiago,West,ADIDAS,250.08,81.91
2024-03-05,Scott Gonzalez,North Central,Tommy Hilfiger,469.48,404.47
2024-02-12,Rogelio Stanley,Northeast,New Balance,188.49,79.96
2025-05-18,Dale Warren,West,ADIDAS,236.21,180.17
2025-08-20,Paul Partick,South,Calvin Klein,42.84,37.41
2023-10-01,Martin Lynch,North Central,Calvin Klein,327.15,295.97
2023-10-14,Dale Warren,West,Jessica Simpson,478.03,341.48
2025-07-20,Felipe Weber,West,Jessica Simpson,480.38,154.04
2024-03-21,Martin Lynch,North Central,Calvin Klein,511.88,351.42
2023-10-04,Marion Nichols,West,ADIDAS,284.2,177.63
2025-09-25,Lowell Norton,South,ADIDAS,131.92,43.57
2026-03-11,Martin Lynch,North Central,Jessica Simpson,590.78,498.16
2025-06-11,Tomas Shaw,South,New Balance,593.78,536.28
2025-02-13,Dale Warren,West,Calvin Klein,190.04,86.68
2025-12-05,Lowell Norton,South,Tommy Hilfiger,221.55,145.95
2023-12-31,Scott Gonzalez,South,ADIDAS,595.51,281.72
2023-06-27,Dale Warren,Northeast,Puma,396.76,126.63
2024-06-19,Dale Warren,Northeast,Calvin Klein,168.78,96.79
2025-03-24,Rogelio Stanley,Northeast,ADIDAS,150.92,112.15
2025-07-11,Cesar Bryant,South,Calvin Klein,197.99,171.69
2024-10-30,Cesar Bryant,South,Tommy Hilfiger,571.11,553.31
